ID,source,source_language,target,target_language,x-context-pre,x-context-post
21,"A team is set up in Xalapa, Mexico, consisting of a management team and a team of translators.",en,"Se crea un equipo en Xalapa, México, formado por un grupo de gestores y un grupo de traductores.",es,<seg>2015</seg>,<seg>2016</seg>
22,2016,en,2016,es,,
23,Production office in Porto Alegre opens to provide translations to Brazilian Portuguese.,en,Se abre una oficina de producción en Porto Alegre para ofrecer traducciones al portugués de Brasil.,es,<seg>2016</seg>,<seg>2017</seg>
24,2017,en,2017,es,,
25,ISO 9001:2015 and ISO 17100:2015 certifications replace the previous ISO 9001:2008 and EN 15038:2006.,en,Las certificaciones ISO 9001:2015 e ISO 17100:2015 sustituyen a las certificaciones ISO 9001:2008 y EN 15038:2006 anteriores.,es,<seg>2017</seg>,
26,<ph><pict id=&quot;0&quot; /></ph><ph><pict id=&quot;1&quot; /></ph><ph><pict id=&quot;2&quot; /></ph><ph><pict id=&quot;3&quot; /></ph><ph><pict id=&quot;4&quot; /></ph><ph><pict id=&quot;5&quot; /></ph><ph><pict id=&quot;6&quot; /></ph><ph><draw id=&quot;0&quot; rprid=&quot;0&quot; /></ph><bpt i='1'><rpr id=&quot;1&quot;></bpt>  <ept i='1'></rpr id=&quot;1&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;2&quot;></bpt><bpt i='3' type='bold'>{}</bpt><bpt i='4' type='italic'>{}</bpt>30<ept i='3'>{}</ept><ept i='4'>{}</ept><ept i='2'></rpr id=&quot;2&quot; transform=&quot;close&quot;></ept>,en,<ph><pict id=&quot;0&quot; /></ph><ph><pict id=&quot;1&quot; /></ph><ph><pict id=&quot;2&quot; /></ph><ph><pict id=&quot;3&quot; /></ph><ph><pict id=&quot;4&quot; /></ph><ph><pict id=&quot;5&quot; /></ph><ph><pict id=&quot;6&quot; /></ph><ph><draw id=&quot;0&quot; rprid=&quot;0&quot; /></ph><bpt i='1'><rpr id=&quot;1&quot;></bpt>  <ept i='1'></rpr id=&quot;1&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;2&quot;></bpt><bpt i='3' type='bold'>{}</bpt><bpt i='4' type='italic'>{}</bpt>30<ept i='3'>{}</ept><ept i='4'>{}</ept><ept i='2'></rpr id=&quot;2&quot; transform=&quot;close&quot;></ept>,es,,
27,<bpt i='1' type='bold'>{}</bpt><bpt i='2' type='italic'>{}</bpt>1987-2017<ept i='1'>{}</ept><ept i='2'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt><bpt i='2' type='italic'>{}</bpt>1987-2017<ept i='1'>{}</ept><ept i='2'>{}</ept>,es,<seg><ph>&lt;pict id=&quot;0&quot; /&gt;</ph><ph>&lt;pict id=&quot;1&quot; /&gt;</ph><ph>&lt;pict id=&quot;2&quot; /&gt;</ph><ph>&lt;pict id=&quot;3&quot; /&gt;</ph><ph>&lt;pict id=&quot;4&quot; /&gt;</ph><ph>&lt;pict id=&quot;5&quot; /&gt;</ph><ph>&lt;pict id=&quot;6&quot; /&gt;</ph><ph>&lt;draw id=&quot;0&quot; rprid=&quot;0&quot; /&gt;</ph><bpt i='1'>&lt;rpr id=&quot;1&quot;&gt;</bpt>  <bpt i='2' type='bold'>{}</bpt><bpt i='3' type='italic'>{}</bpt><ept i='1'>&lt;/rpr id=&quot;1&quot; transform=&quot;close&quot;&gt;</ept><bpt i='4'>&lt;rpr id=&quot;2&quot;&gt;</bpt>30<bpt i='5' type='ulined'>{}</bpt><ept i='3'>{}</ept><ept i='4'>&lt;/rpr id=&quot;2&quot; transform=&quot;close&quot;&gt;</ept><ept i='2'>{}</ept><ept i='5'>{}</ept></seg>,<seg><bpt i='1'>&lt;rpr id=&quot;4&quot;&gt;</bpt>TRANSLATION<ept i='1'>&lt;/rpr id=&quot;4&quot; transform=&quot;close&quot;&gt;</ept></seg>
28,<ph><pict id=&quot;36&quot; /></ph><it pos='begin'><rpr id=&quot;10&quot;></it>Processes are im- plemented to meet ISO 9001 and EN 15038 quality stan- dards.,en,<ph><pict id=&quot;36&quot; /></ph><it pos='begin'><rpr id=&quot;10&quot;></it>Se implementan procesos para cumplir las normas ISO 9001 y EN 15038.,es,<seg><bpt i='1' type='bold'>{}</bpt><bpt i='2'>&lt;rpr id=&quot;10&quot;&gt;</bpt>2010<ept i='1'>{}</ept><ept i='2'>&lt;/rpr id=&quot;10&quot; transform=&quot;close&quot;&gt;</ept></seg>,<seg>Both certifications are achieved.<it pos='end'>&lt;/rpr id=&quot;10&quot; transform=&quot;close&quot;&gt;</it></seg>
29,33130 - Miami Florida - USA,en,33130 - Miami Florida - USA,es,"<seg>80 S.W. 8th Street, Suite 2000</seg>",<seg>Tel: (+1) (305) 481-9549</seg>
30,72 01311-200 Bela Vista,en,"72 01311-200, Bela Vista",es,"<seg>Avenida Paulista, 1765, 7º andar Conj.</seg>",<seg>São Paulo - Brasil</seg>
31,<ph><pict id=&quot;22&quot; /></ph><ph><pict id=&quot;23&quot; /></ph><ph><pict id=&quot;24&quot; /></ph><ph><pict id=&quot;25&quot; /></ph><ph><pict id=&quot;26&quot; /></ph><bpt i='1'><rpr id=&quot;0&quot;></bpt><ph><draw id=&quot;6&quot; /></ph><ph><draw id=&quot;7&quot; /></ph><ph><draw id=&quot;8&quot; /></ph><ph><draw id=&quot;9&quot; /></ph><ph><draw id=&quot;10&quot; /></ph><ept i='1'></rpr id=&quot;0&quot; transform=&quot;close&quot;></ept><ph><pict id=&quot;27&quot; /></ph><ph><pict id=&quot;28&quot; /></ph><bpt i='2'><rpr id=&quot;10&quot;></bpt><bpt i='3' type='bold'>{}</bpt>1987<ept i='3'>{}</ept><ept i='2'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,en,<ph><pict id=&quot;22&quot; /></ph><ph><pict id=&quot;23&quot; /></ph><ph><pict id=&quot;24&quot; /></ph><ph><pict id=&quot;25&quot; /></ph><ph><pict id=&quot;26&quot; /></ph><bpt i='1'><rpr id=&quot;0&quot;></bpt><ph><draw id=&quot;6&quot; /></ph><ph><draw id=&quot;7&quot; /></ph><ph><draw id=&quot;8&quot; /></ph><ph><draw id=&quot;9&quot; /></ph><ph><draw id=&quot;10&quot; /></ph><ept i='1'></rpr id=&quot;0&quot; transform=&quot;close&quot;></ept><ph><pict id=&quot;27&quot; /></ph><ph><pict id=&quot;28&quot; /></ph><bpt i='2'><rpr id=&quot;10&quot;></bpt><bpt i='3' type='bold'>{}</bpt>1987<ept i='3'>{}</ept><ept i='2'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,es,,
32,<ph><pict id=&quot;141&quot; /></ph><ph><pict id=&quot;142&quot; /></ph><ph><pict id=&quot;143&quot; /></ph><ph><pict id=&quot;144&quot; /></ph><ph><pict id=&quot;145&quot; /></ph><ph><draw id=&quot;46&quot; rprid=&quot;0&quot; /></ph><ph><pict id=&quot;146&quot; /></ph><ph><draw id=&quot;47&quot; rprid=&quot;0&quot; /></ph><bpt i='1'><rpr id=&quot;21&quot;></bpt><bpt i='2' type='bold'>{}</bpt><bpt i='3' type='italic'>{}</bpt>1987-2017<ept i='2'>{}</ept><ept i='3'>{}</ept><ept i='1'></rpr id=&quot;21&quot; transform=&quot;close&quot;></ept>,en,<ph><pict id=&quot;141&quot; /></ph><ph><pict id=&quot;142&quot; /></ph><ph><pict id=&quot;143&quot; /></ph><ph><pict id=&quot;144&quot; /></ph><ph><pict id=&quot;145&quot; /></ph><ph><draw id=&quot;46&quot; rprid=&quot;0&quot; /></ph><ph><pict id=&quot;146&quot; /></ph><ph><draw id=&quot;47&quot; rprid=&quot;0&quot; /></ph><bpt i='1'><rpr id=&quot;21&quot;></bpt><bpt i='2' type='bold'>{}</bpt><bpt i='3' type='italic'>{}</bpt>1987-2017<ept i='2'>{}</ept><ept i='3'>{}</ept><ept i='1'></rpr id=&quot;21&quot; transform=&quot;close&quot;></ept>,es,<seg><bpt i='1'>&lt;rpr id=&quot;1&quot;&gt;</bpt>  <bpt i='2' type='bold'>{}</bpt><bpt i='3' type='italic'>{}</bpt><ept i='1'>&lt;/rpr id=&quot;1&quot; transform=&quot;close&quot;&gt;</ept><bpt i='4'>&lt;rpr id=&quot;2&quot;&gt;</bpt>30<bpt i='5' type='ulined'>{}</bpt><ept i='3'>{}</ept><ept i='4'>&lt;/rpr id=&quot;2&quot; transform=&quot;close&quot;&gt;</ept><ept i='2'>{}</ept><ept i='5'>{}</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt><bpt i='2'>&lt;hlnk id=&quot;rId60&quot; fileName=&quot;document.xml&quot; href=&quot;&quot;&gt;</bpt><bpt i='3'>&lt;rpr id=&quot;22&quot;&gt;</bpt>www .idisc.com <ept i='1'>{}</ept><ept i='3'>&lt;/rpr id=&quot;22&quot; transform=&quot;close&quot;&gt;</ept><ept i='2'>&lt;/hlnk&gt;</ept></seg>
33,<bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>1990<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,en,<bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>1990<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,es,,
34,<bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>1995<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,en,<bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>1995<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,es,,
35,<bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>1997<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,en,<bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>1997<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,es,,
36,<bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2010<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,en,<bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2010<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,es,,
37,<bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2011<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,en,<bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2011<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,es,,
38,<ph><pict id=&quot;29&quot; /></ph><bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2012<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,en,<ph><pict id=&quot;29&quot; /></ph><bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2012<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,es,,
39,<ph><pict id=&quot;31&quot; /></ph><bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2013<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,en,<ph><pict id=&quot;31&quot; /></ph><bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2013<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,es,,
40,<ph><pict id=&quot;33&quot; /></ph><bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2015<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,en,<ph><pict id=&quot;33&quot; /></ph><bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2015<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,es,,
41,<ph><pict id=&quot;35&quot; /></ph><bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2016<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,en,<ph><pict id=&quot;35&quot; /></ph><bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2016<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,es,,
42,<ph><pict id=&quot;37&quot; /></ph><bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2017<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,en,<ph><pict id=&quot;37&quot; /></ph><bpt i='1'><rpr id=&quot;10&quot;></bpt><bpt i='2' type='bold'>{}</bpt>2017<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,es,,
43,<bpt i='1' type='bold'>{}</bpt><bpt i='2' type='italic'>{}</bpt>30<ept i='1'>{}</ept><ept i='2'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt><bpt i='2' type='italic'>{}</bpt>30<ept i='1'>{}</ept><ept i='2'>{}</ept>,es,,
44,06500 Distrito Federal Distrito Federal - México Tel: (+52) (55) 4163 9062,en,"06500, Distrito Federal Distrito Federal - México Tel.: (+52) (55) 4163 9062",es,"<seg>Paseo de la Reforma, 389, Piso 12 Colonia Cuauhtemoc</seg>",<seg><bpt i='1' type='bold'>{}</bpt>Buenos Aires<ept i='1'>{}</ept></seg>
45,<ph><pict id=&quot;88&quot; /></ph><ph><pict id=&quot;89&quot; /></ph><bpt i='1'><rpr id=&quot;11&quot;></bpt>+50 in-house<ept i='1'></rpr id=&quot;11&quot; transform=&quot;close&quot;></ept>,en,<ph><pict id=&quot;88&quot; /></ph><ph><pict id=&quot;89&quot; /></ph><bpt i='1'><rpr id=&quot;11&quot;></bpt>+50 in-house<ept i='1'></rpr id=&quot;11&quot; transform=&quot;close&quot;></ept>,es,<seg><bpt i='1' type='bold'>{}</bpt><bpt i='2'>&lt;rpr id=&quot;11&quot;&gt;</bpt>Team<ept i='1'>{}</ept><ept i='2'>&lt;/rpr id=&quot;11&quot; transform=&quot;close&quot;&gt;</ept></seg>,<seg>+2000 external collaborators</seg>
46,<bpt i='1'><rpr id=&quot;1&quot;></bpt>  <ept i='1'></rpr id=&quot;1&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;2&quot;></bpt><bpt i='3' type='bold'>{}</bpt><bpt i='4' type='italic'>{}</bpt>30<ept i='3'>{}</ept><ept i='4'>{}</ept><ept i='2'></rpr id=&quot;2&quot; transform=&quot;close&quot;></ept>,en,<bpt i='1'><rpr id=&quot;1&quot;></bpt>  <ept i='1'></rpr id=&quot;1&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;2&quot;></bpt><bpt i='3' type='bold'>{}</bpt><bpt i='4' type='italic'>{}</bpt>30<ept i='3'>{}</ept><ept i='4'>{}</ept><ept i='2'></rpr id=&quot;2&quot; transform=&quot;close&quot;></ept>,es,,
47,<ph><draw id=&quot;2&quot; rprid=&quot;0&quot; /></ph><bpt i='1'><rpr id=&quot;7&quot;></bpt>  <ept i='1'></rpr id=&quot;7&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;8&quot;></bpt><bpt i='3' type='bold'>{}</bpt><bpt i='4' type='italic'>{}</bpt>30<ept i='3'>{}</ept><ept i='4'>{}</ept><ept i='2'></rpr id=&quot;8&quot; transform=&quot;close&quot;></ept>,en,<ph><draw id=&quot;2&quot; rprid=&quot;0&quot; /></ph><bpt i='1'><rpr id=&quot;7&quot;></bpt>  <ept i='1'></rpr id=&quot;7&quot; transform=&quot;close&quot;></ept><bpt i='2'><rpr id=&quot;8&quot;></bpt><bpt i='3' type='bold'>{}</bpt><bpt i='4' type='italic'>{}</bpt>30<ept i='3'>{}</ept><ept i='4'>{}</ept><ept i='2'></rpr id=&quot;8&quot; transform=&quot;close&quot;></ept>,es,,
48,<ph><pict id=&quot;34&quot; /></ph><bpt i='1'><rpr id=&quot;10&quot;></bpt>A production office opens in Argentina to handle the demands for the Spanish used in Latin American countries.<ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,en,<ph><pict id=&quot;34&quot; /></ph><bpt i='1'><rpr id=&quot;10&quot;></bpt>Se abre una oficina de producción en Argentina para cubrir la demanda del español que se utiliza en los países latinoamericanos.<ept i='1'></rpr id=&quot;10&quot; transform=&quot;close&quot;></ept>,es,<seg><bpt i='1' type='bold'>{}</bpt><bpt i='2'>&lt;rpr id=&quot;10&quot;&gt;</bpt>1997<ept i='1'>{}</ept><ept i='2'>&lt;/rpr id=&quot;10&quot; transform=&quot;close&quot;&gt;</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt><ph>&lt;pict id=&quot;35&quot; /&gt;</ph><bpt i='2'>&lt;rpr id=&quot;10&quot;&gt;</bpt>2016<ept i='1'>{}</ept><ept i='2'>&lt;/rpr id=&quot;10&quot; transform=&quot;close&quot;&gt;</ept></seg>
49,<ph><pict id=&quot;53&quot; /></ph><ph><pict id=&quot;54&quot; /></ph><ph><pict id=&quot;55&quot; /></ph><ph><pict id=&quot;56&quot; /></ph><bpt i='1'><rpr id=&quot;13&quot;></bpt><bpt i='2' type='bold'>{}</bpt>Areas of specialization<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;13&quot; transform=&quot;close&quot;></ept>,en,<ph><pict id=&quot;53&quot; /></ph><ph><pict id=&quot;54&quot; /></ph><ph><pict id=&quot;55&quot; /></ph><ph><pict id=&quot;56&quot; /></ph><bpt i='1'><rpr id=&quot;13&quot;></bpt><bpt i='2' type='bold'>{}</bpt>Áreas de especialización<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;13&quot; transform=&quot;close&quot;></ept>,es,<seg>We handle your content from any platform to make your products and services accessible through any digital interface.</seg>,<seg><ph>&lt;pict id=&quot;58&quot; /&gt;</ph><ph>&lt;pict id=&quot;59&quot; /&gt;</ph><bpt i='1'>&lt;rpr id=&quot;11&quot;&gt;</bpt>INFORMATION TECHNOLOGY<ept i='1'>&lt;/rpr id=&quot;11&quot; transform=&quot;close&quot;&gt;</ept></seg>
50,<bpt i='1' type='bold'>{}</bpt>Associations<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Asociaciones<ept i='1'>{}</ept>,es,"<seg><bpt i='1'>&lt;rpr id=&quot;11&quot;&gt;</bpt>At iDISC we use all CAT (Computer As- sisted Translation) tools on the market, combined with efficient cutting-edge solutions to achieve timely and best quality translations at competitive prices.<ept i='1'>&lt;/rpr id=&quot;11&quot; transform=&quot;close&quot;&gt;</ept></seg>",<seg><bpt i='1' type='bold'>{}</bpt><ph>&lt;pict id=&quot;113&quot; /&gt;</ph><ph>&lt;draw id=&quot;31&quot; rprid=&quot;0&quot; /&gt;</ph><bpt i='2'>&lt;rpr id=&quot;13&quot;&gt;</bpt>iDISC team<ept i='1'>{}</ept><ept i='2'>&lt;/rpr id=&quot;13&quot; transform=&quot;close&quot;&gt;</ept></seg>
51,<ph><pict id=&quot;113&quot; /></ph><ph><draw id=&quot;31&quot; rprid=&quot;0&quot; /></ph><bpt i='1'><rpr id=&quot;13&quot;></bpt><bpt i='2' type='bold'>{}</bpt>iDISC team<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;13&quot; transform=&quot;close&quot;></ept>,en,<ph><pict id=&quot;113&quot; /></ph><ph><draw id=&quot;31&quot; rprid=&quot;0&quot; /></ph><bpt i='1'><rpr id=&quot;13&quot;></bpt><bpt i='2' type='bold'>{}</bpt>Equipo iDISC<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;13&quot; transform=&quot;close&quot;></ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Associations<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt>Pere<ept i='1'>{}</ept></seg>
52,<bpt i='1' type='bold'>{}</bpt>Pere<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Pere<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt><ph>&lt;pict id=&quot;113&quot; /&gt;</ph><ph>&lt;draw id=&quot;31&quot; rprid=&quot;0&quot; /&gt;</ph><bpt i='2'>&lt;rpr id=&quot;13&quot;&gt;</bpt>iDISC team<ept i='1'>{}</ept><ept i='2'>&lt;/rpr id=&quot;13&quot; transform=&quot;close&quot;&gt;</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt>Xavier<ept i='1'>{}</ept></seg>
53,<bpt i='1' type='bold'>{}</bpt>Xavier<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Xavier<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Pere<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt>Francesc<ept i='1'>{}</ept></seg>
54,<bpt i='1' type='bold'>{}</bpt>Francesc<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Francesc<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Xavier<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt>Gerard<ept i='1'>{}</ept></seg>
55,<bpt i='1' type='bold'>{}</bpt>Gerard<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Gerard<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Francesc<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt>Carlos<ept i='1'>{}</ept></seg>
56,<bpt i='1' type='bold'>{}</bpt>Carlos<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Carlos<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Gerard<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt>Mildred<ept i='1'>{}</ept></seg>
57,<bpt i='1' type='bold'>{}</bpt>Mildred<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Mildred<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Carlos<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt>Tatiana<ept i='1'>{}</ept></seg>
58,<bpt i='1' type='bold'>{}</bpt>Tatiana<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Tatiana<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Mildred<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt>Núria<ept i='1'>{}</ept></seg>
59,<bpt i='1' type='bold'>{}</bpt>Núria<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Núria<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Tatiana<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt>Grivé<ept i='1'>{}</ept></seg>
60,<bpt i='1' type='bold'>{}</bpt>Grivé<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Grivé<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Núria<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt>Maza<ept i='1'>{}</ept></seg>
61,<bpt i='1' type='bold'>{}</bpt>Maza<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Maza<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Grivé<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt>Morelló<ept i='1'>{}</ept></seg>
62,<bpt i='1' type='bold'>{}</bpt>Morelló<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Morelló<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Maza<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='bold'>{}</bpt>Grivé<ept i='1'>{}</ept></seg>
