id,source,target
document.mqxliff_46,4N1 and 6B3 engines,Motores 4N1 y 6B3
document.mqxliff_47,Change,Cambio
document.mqxliff_48,"First 160,000 km or 8 years, there after every 100,000 km or every 5 years","La primera a los 160.000 km o a los 8 años, después cada 100.000 km o cada 5 años"
document.mqxliff_49,4D5 engine,Motor 4D5
document.mqxliff_50,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_51,Check air cleaner element for clogging and damage (,Comprobación del elemento del filtro de aire en busca de obstrucciones y daños (
document.mqxliff_52,Inspection,Revisión
document.mqxliff_53,Normal usage,Uso normal
document.mqxliff_54,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_55,Severe usage,Uso extremo
document.mqxliff_56,"Every 10,000 km or every 6 months",Cada 10.000 km o cada 6 meses
document.mqxliff_57,Replace air cleaner element (,Cambio del elemento del filtro de aire (
document.mqxliff_58,Replace,Cambio
document.mqxliff_59,Normal usage,Uso normal
document.mqxliff_60,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_61,Severe usage,Uso extremo
document.mqxliff_62,More frequently,Con más frecuencia
document.mqxliff_63,Check fluid level in brake reservoir and clutch reservoir (,Comprobación del nivel de líquido en el depósito de frenos y en el depósito del embrague (
document.mqxliff_64,Inspection,Revisión
document.mqxliff_65,"Every 10,000 km or every 6 months",Cada 10.000 km o cada 6 meses
document.mqxliff_66,Change brake fluid (,Cambio del líquido de frenos (
document.mqxliff_67,Change,Cambio
document.mqxliff_68,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_69,Check battery condition (,Comprobación del estado de la batería (
document.mqxliff_70,Inspection,Inspección
document.mqxliff_71,"Every 10,000 km or every 6 months",Cada 10.000 km o cada 6 meses
document.mqxliff_72,Replace fuel filter (,Sustitución del filtro de combustible (
document.mqxliff_73,Petrol-powered vehicles,Vehículos con motor de gasolina
document.mqxliff_74,Replace,Cambio
document.mqxliff_75,"Every 60,000 km or every 3 years",Cada 60.000 km o cada 3 años
document.mqxliff_76,Diesel-powered vehicles except for Thailand,Vehículos con motor diésel excepto para Tailandia
document.mqxliff_77,Replace,Cambio
document.mqxliff_78,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_79,Diesel-powered vehicles for Thailand,Vehículos diésel para Tailandia
document.mqxliff_80,Replace,Cambio
document.mqxliff_81,"Every 30,000 km or every 3 years",Cada 30.000 km o cada 3 años
document.mqxliff_82,OPERATIONS UNDER THE VEHICLE,OPERACIONES DEBAJO DEL VEHÍCULO
document.mqxliff_83,Check suspension system for damage and looseness (,Comprobación del estado del sistema de suspensión (
document.mqxliff_84,Inspection,Revisión
document.mqxliff_85,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_86,"Check suspension arm ball joints for play, and dust covers for damage (",Comprobación del juego en las juntas esféricas de los brazos de suspensión y del estado de las cubiertas guardapolvos (
document.mqxliff_87,Inspection,Revisión
document.mqxliff_88,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_89,Lubricate propeller shaft with grease fitting (,Lubricar el árbol de transmisión con un accesorio de engrase (
document.mqxliff_90,Lubrication,Lubricación
document.mqxliff_91,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_92,Check driveshaft boots for damage (,Comprobación del estado de los guardapolvos del árbol de transmisión (
document.mqxliff_93,Inspection,Revisión
document.mqxliff_94,Normal usage,Uso normal
document.mqxliff_95,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_96,Severe usage,Uso extremo
document.mqxliff_97,"Every 10,000 km or every 6 months",Cada 10.000 km o cada 6 meses
document.mqxliff_98,Check steering linkage for damage and loose connections (including seals and boots) (,Comprobación del estado y la conexión de la articulación de la dirección (incluidos los guardapolvos y las juntas) (
document.mqxliff_99,Inspection,Revisión
document.mqxliff_100,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_101,Check manual transmission for oil leakage,Compruebe que no haya fugas de aceite en la transmisión manual
document.mqxliff_102,"(In case of leakage, check the oil level) (","(Si hubiera fugas, compruebe el nivel de aceite) ("
document.mqxliff_103,Inspection,Inspección
document.mqxliff_104,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_105,Check transfer for oil leakage,Comprobación de fugas de aceite en la transferencia
document.mqxliff_106,"(In case of leakage, check the oil level) (","(Si hubiera fugas, compruebe el nivel de aceite) ("
document.mqxliff_107,Inspection,Inspección
document.mqxliff_108,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_109,Change gear oil in manual transmission (,Cambio del aceite de engranajes de la transmisión manual (
document.mqxliff_110,Change,Cambio
document.mqxliff_111,Normal usage,Uso normal
document.mqxliff_112,"Every 100,000 km",Cada 100.000 km
document.mqxliff_113,Severe usage,Uso extremo
document.mqxliff_114,"Every 40,000 km",Cada 40.000 km
document.mqxliff_115,Change gear oil in transfer (,Cambio del aceite de engranajes de la transferencia (
document.mqxliff_116,Change,Cambio
document.mqxliff_117,Normal usage,Uso normal
document.mqxliff_118,"Every 100,000 km",Cada 100.000 km
document.mqxliff_119,Severe usage,Uso extremo
document.mqxliff_120,"Every 40,000 km",Cada 40.000 km
document.mqxliff_121,Check front and rear differential for oil leakage,Comprobación del diferencial delantero y trasero en busca de fugas de aceite
document.mqxliff_122,"(In case of leakage, check the oil level) (","(Si hubiera fugas, compruebe el nivel de aceite) ("
document.mqxliff_123,Inspection,Inspección
document.mqxliff_124,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_125,Change gear oil in front and rear differential (,Cambio del aceite de engranajes en el diferencial delantero y trasero (
document.mqxliff_126,Conventional differential,Diferencial convencional
document.mqxliff_127,Change,Cambio
document.mqxliff_128,Normal usage,Uso normal
document.mqxliff_129,"Every 80,000 km",Cada 80.000 km
document.mqxliff_130,Severe usage,Uso extremo
document.mqxliff_131,"Every 40,000 km",Cada 40.000 km
document.mqxliff_132,Hybrid type LSD,Tipo híbrido LSD
document.mqxliff_133,Change,Cambio
document.mqxliff_134,Normal usage,Uso normal
document.mqxliff_135,"Every 40,000 km",Cada 40.000 km
document.mqxliff_136,Severe usage,Uso extremo
document.mqxliff_137,"Every 20,000 km",Cada 20.000 km
document.mqxliff_138,"Check exhaust pipe connections for gas leakage, and check pipe installation (",Comprobación de fugas de gas en las uniones del tubo de escape y comprobación de la instalación del tubo (
document.mqxliff_139,Inspection,Revisión
document.mqxliff_140,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_141,OPERATIONS INSIDE THE VEHICLE,OPERACIONES DENTRO DEL VEHÍCULO
document.mqxliff_142,Check brake pedal and clutch pedal for free play (,Comprobación del juego libre del pedal del freno y del pedal del embrague (
document.mqxliff_143,Inspection,Revisión
document.mqxliff_144,"Every 10,000 km or every 6 months",Cada 10.000 km o cada 6 meses
document.mqxliff_145,Check parking brake lever stroke and play (,Comprobación de la carrera y el juego de la palanca del freno de estacionamiento (
document.mqxliff_146,Inspection,Revisión
document.mqxliff_147,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_148,Replace air purifier filter. (,Cambio del filtro purificador de aire. (
document.mqxliff_149,Replace,Cambio
document.mqxliff_150,"Every 15,000 km or every 12 months",Cada 15.000 km o 12 meses
document.mqxliff_151,OPERATIONS OUTSIDE THE VEHICLE,OPERACIONES FUERA DEL VEHÍCULO
document.mqxliff_152,Check wheel alignment (,Comprobación de la alineación de las ruedas (
document.mqxliff_153,Inspection,Revisión
document.mqxliff_154,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_155,Check front and rear wheel bearings for play (,Comprobación del juego en los cojinetes de las ruedas delanteras y traseras (
document.mqxliff_156,Inspection,Revisión
document.mqxliff_157,"Every 60,000 km or every 3 years",Cada 60.000 km o cada 3 años
document.mqxliff_158,Check brake hoses and pipes for leakage (,Comprobación de fugas en las mangueras y las tuberías del freno (
document.mqxliff_159,Inspection,Revisión
document.mqxliff_160,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_161,Check brake pads and discs for wear (,Comprobación del estado de las pastillas y los discos de freno (
document.mqxliff_162,Inspection,Inspección
document.mqxliff_163,Normal usage,Uso normal
document.mqxliff_164,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_165,Severe usage,Uso extremo
document.mqxliff_166,"Every 5,000 km or every 6 months",Cada 5.000 km o cada 6 meses
document.mqxliff_167,Check brake shoe linings and drums (drum in disc) for wear (,Comprobación de desgaste de los forros de las zapatas y los tambores (tambor en disco) de los frenos (
document.mqxliff_168,Inspection,Inspección
document.mqxliff_169,Normal usage,Uso normal
document.mqxliff_170,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_171,Severe usage,Uso extremo
document.mqxliff_172,"Every 10,000 km or every 6 months",Cada 10.000 km o cada 6 meses
document.mqxliff_173,Adjust the clearance of the brake shoe linings (vehicles with electric parking brake) (,Ajuste de la holgura de los forros de las zapatas del freno (vehículos con freno de estacionamiento eléctrico) (
document.mqxliff_174,Adjust,Ajuste
document.mqxliff_175,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_176,Check fuel hoses and pipes for leakage or deterioration (,Comprobación de fugas y desperfectos en las mangueras y los tubos de combustible (
document.mqxliff_177,Inspection,Revisión
document.mqxliff_178,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_179,OPERATIONS AFTER ENGINE IS WARMED UP,OPERACIONES UNA VEZ CALENTADO EL MOTOR
document.mqxliff_180,Check automatic transmission for fluid leakage,Comprobación de fugas de líquido en la transmisión automática
document.mqxliff_181,"(In case of leakage, check the oil level) (","(Si hubiera fugas, compruebe el nivel de aceite) ("
document.mqxliff_182,Inspection,Inspección
document.mqxliff_183,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_184,Change automatic transmission fluid (,Cambio del líquido de la transmisión automática (
document.mqxliff_185,Change,Cambio
document.mqxliff_186,Severe usage,Uso extremo
document.mqxliff_187,"Every 100,000 km",Cada 100.000 km
document.mqxliff_188,Change engine oil (,Cambio del aceite del motor (
document.mqxliff_189,Petrol-powered vehicle,Vehículo con motor de gasolina
document.mqxliff_190,Change,Cambio
document.mqxliff_191,Normal usage,Uso normal
document.mqxliff_192,"Every 15,000 km or every 12 months",Cada 15.000 km o 12 meses
document.mqxliff_193,Severe usage,Uso extremo
document.mqxliff_194,"Every 5,000 km",Cada 5.000 km
document.mqxliff_195,Diesel-powered vehicle,Vehículo con motor diésel
document.mqxliff_196,Change,Cambio
document.mqxliff_197,Normal usage,Uso normal
document.mqxliff_198,"Every 10,000 km or every 12 months",Cada 10.000 km o cada 12 meses
document.mqxliff_199,Severe usage,Uso extremo
document.mqxliff_200,"Every 5,000 km",Cada 5.000 km
document.mqxliff_201,Replace engine oil filter (,Sustituya el filtro de aceite del motor (
document.mqxliff_202,Petrol-powered vehicle,Vehículo con motor de gasolina
document.mqxliff_203,Replace,Cambio
document.mqxliff_204,Normal usage,Uso normal
document.mqxliff_205,"Every 15,000 km or every 12 months",Cada 15.000 km o 12 meses
document.mqxliff_206,Severe usage,Uso extremo
document.mqxliff_207,"Every 5,000 km",Cada 5.000 km
document.mqxliff_208,Diesel-powered vehicle,Vehículo con motor diésel
document.mqxliff_209,Replace,Cambio
document.mqxliff_210,Normal usage,Uso normal
document.mqxliff_211,"Every 10,000 km or every 12 months",Cada 10.000 km o cada 12 meses
document.mqxliff_212,Severe usage,Uso extremo
document.mqxliff_213,"Every 5,000 km",Cada 5.000 km
document.mqxliff_214,Check CO concentration (petrol-powered vehicles) <Only in the country which is necessary by regulation> (,Comprobación de la concentración de CO (vehículos con motor de gasolina) <solo en países donde es necesario según la normativa> (
document.mqxliff_215,Inspection,Inspección
document.mqxliff_216,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_217,Check exhaust gas recirculation (EGR) system (,Comprobación del sistema de recirculación de los gases de escape (EGR) (
document.mqxliff_218,6B3 engines,Motores 6B3
document.mqxliff_219,Inspection,Revisión
document.mqxliff_220,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_221,OTHERS,OTROS
document.mqxliff_222,Check body condition for damage (,Comprobación del estado de la carrocería (
document.mqxliff_223,Inspection,Inspección
document.mqxliff_224,Every year,Anual
document.mqxliff_225,Check the common rail engine,Comprobación del motor common rail
document.mqxliff_226,(small injection quantity learning) (,(aprendizaje de cantidad de inyección pequeña) (
document.mqxliff_227,Inspection,Inspección
document.mqxliff_228,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_229,Road test (,Prueba en carretera (
document.mqxliff_230,Inspection,Inspección
document.mqxliff_231,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_232,VEHICLES FOR EUROPE,VEHÍCULOS PARA EUROPA
document.mqxliff_233,Maintenance item,Punto de mantenimiento
document.mqxliff_234,Maintenance operation,Operación de mantenimiento
document.mqxliff_235,Maintenance interval,Intervalo de mantenimiento
document.mqxliff_236,OPERATIONS INSIDE THE ENGINE COMPARTMENT,OPERACIONES DENTRO DEL COMPARTIMIENTO DEL MOTOR
document.mqxliff_237,"Check drive belt for cracks, fraying, wear, and adjust its tension (","Comprobación de la presencia de fisuras, desgarros o desgaste en la correa de transmisión y ajuste de la tensión ("
document.mqxliff_238,Inspection,Inspección
document.mqxliff_239,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_240,Check intake air hose and turbocharger oil hose for damage (vehicles with turbocharger) (,Comprobación de daños en las mangueras de aceite del turbocompresor y las mangueras de aire de admisión (vehículos con turbocompresor) (
document.mqxliff_241,Inspection,Revisión
document.mqxliff_242,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_243,Check valve clearance*1,Comprobación de la holgura de las válvulas*1
document.mqxliff_244,(except vehicles with auto-lash adjuster) (,(excepto vehículos con ajuste de holgura automático) (
document.mqxliff_245,Inspection,Inspección
document.mqxliff_246,"Every 60,000 km",Cada 60.000 km
document.mqxliff_247,Check radiator hoses for damage and proper connection (,Comprobación del estado y la conexión de las mangueras del radiador (
document.mqxliff_248,Inspection,Inspección
document.mqxliff_249,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_250,Check engine coolant level in reservoir (,Comprobación del nivel de refrigerante del motor en el depósito (
document.mqxliff_251,Inspection,Revisión
document.mqxliff_252,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_253,Change engine coolant (,Cambio del refrigerante del motor (
document.mqxliff_254,Change,Cambio
document.mqxliff_255,"First 200,000 km or 10 years, there after every 120,000 km or every 6 years","La primera a los 200.000 km o a los 10 años, después cada 120.000 km o cada 6 años"
document.mqxliff_256,Check air cleaner element for clogging and damage (,Comprobación del elemento del filtro de aire en busca de obstrucciones y daños (
document.mqxliff_257,Inspection,Revisión
document.mqxliff_258,Normal usage,Uso normal
document.mqxliff_259,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_260,Severe usage,Uso extremo
document.mqxliff_261,"Every 10,000 km or every 6 months",Cada 10.000 km o cada 6 meses
document.mqxliff_262,Replace air cleaner element (,Cambio del elemento del filtro de aire (
document.mqxliff_263,Replace,Cambio
document.mqxliff_264,Normal usage,Uso normal
document.mqxliff_265,"Every 60,000 km or every 3 years",Cada 60.000 km o cada 3 años
document.mqxliff_266,Severe usage,Uso extremo
document.mqxliff_267,More frequently,Con más frecuencia
document.mqxliff_268,Check fluid level in brake reservoir and clutch reservoir (,Comprobación del nivel de líquido en el depósito de frenos y en el depósito del embrague (
document.mqxliff_269,Inspection,Revisión
document.mqxliff_270,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_271,Change brake fluid (,Cambio del líquido de frenos (
document.mqxliff_272,Change,Cambio
document.mqxliff_273,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_274,Check battery condition (,Comprobación del estado de la batería (
document.mqxliff_275,Inspection,Inspección
document.mqxliff_276,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_277,Replace fuel filter (,Sustitución del filtro de combustible (
document.mqxliff_278,Replace,Sustitución
document.mqxliff_279,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_280,OPERATIONS UNDER THE VEHICLE,OPERACIONES DEBAJO DEL VEHÍCULO
document.mqxliff_281,Check suspension system for damage and looseness (,Comprobación del estado del sistema de suspensión (
document.mqxliff_282,Inspection,Revisión
document.mqxliff_283,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_284,"Check suspension arm ball joints for play, and dust covers for damage (",Comprobación del juego en las juntas esféricas de los brazos de suspensión y del estado de las cubiertas guardapolvos (
document.mqxliff_285,Inspection,Revisión
document.mqxliff_286,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_287,Lubricate propeller shaft with grease fitting (universal joints and sliding sleeve) (,Lubricar el árbol de transmisión con un accesorio de engrase (juntas universales y manguito deslizante) (
document.mqxliff_288,Lubrication,Lubricación
document.mqxliff_289,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_290,Check driveshaft boots for damage (,Comprobación del estado de los guardapolvos del árbol de transmisión (
document.mqxliff_291,Inspection,Revisión
document.mqxliff_292,Normal usage,Uso normal
document.mqxliff_293,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_294,Severe usage,Uso extremo
document.mqxliff_295,"Every 10,000 km",Cada 10.000 km
document.mqxliff_296,Check steering linkage for damage and loose connections (including seals and boots) (,Comprobación del estado y la conexión de la articulación de la dirección (incluidos los guardapolvos y las juntas) (
document.mqxliff_297,Inspection,Revisión
document.mqxliff_298,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_299,Check manual transmission for oil leakage,Compruebe que no haya fugas de aceite en la transmisión manual
document.mqxliff_300,"(In case of leakage, check the oil level) (","(Si hubiera fugas, compruebe el nivel de aceite) ("
document.mqxliff_301,Inspection,Inspección
document.mqxliff_302,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_303,Check transfer for oil leakage,Comprobación de fugas de aceite en la transferencia
document.mqxliff_304,"(In case of leakage, check the oil level) (","(Si hubiera fugas, compruebe el nivel de aceite) ("
document.mqxliff_305,Inspection,Inspección
document.mqxliff_306,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_307,Change gear oil in manual transmission (,Cambio del aceite de engranajes de la transmisión manual (
document.mqxliff_308,Change,Cambio
document.mqxliff_309,Normal usage,Uso normal
document.mqxliff_310,"Every 100,000 km",Cada 100.000 km
document.mqxliff_311,Severe usage,Uso extremo
document.mqxliff_312,"Every 40,000 km",Cada 40.000 km
document.mqxliff_313,Change gear oil in transfer (,Cambio del aceite de engranajes de la transferencia (
document.mqxliff_314,Change,Cambio
document.mqxliff_315,Normal usage,Uso normal
document.mqxliff_316,"Every 100,000 km",Cada 100.000 km
document.mqxliff_317,Severe usage,Uso extremo
document.mqxliff_318,"Every 40,000 km",Cada 40.000 km
document.mqxliff_319,Check front and rear differential for oil leakage,Comprobación del diferencial delantero y trasero en busca de fugas de aceite
document.mqxliff_320,"(In case of leakage, check the oil level) (","(Si hubiera fugas, compruebe el nivel de aceite) ("
document.mqxliff_321,Inspection,Inspección
document.mqxliff_322,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_323,Change gear oil in front and rear differential (,Cambio del aceite de engranajes en el diferencial delantero y trasero (
document.mqxliff_324,Change,Cambio
document.mqxliff_325,Normal usage,Uso normal
document.mqxliff_326,"Every 80,000 km",Cada 80.000 km
document.mqxliff_327,Severe usage,Uso extremo
document.mqxliff_328,"Every 40,000 km",Cada 40.000 km
document.mqxliff_329,"Check exhaust pipe connections for gas leakage, and check pipe installation (",Comprobación de fugas de gas en las uniones del tubo de escape y comprobación de la instalación del tubo (
document.mqxliff_330,Inspection,Revisión
document.mqxliff_331,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_332,OPERATIONS INSIDE THE VEHICLE,OPERACIONES DENTRO DEL VEHÍCULO
document.mqxliff_333,Check brake pedal and clutch pedal for free play (,Comprobación del juego libre del pedal del freno y del pedal del embrague (
document.mqxliff_334,Inspection,Revisión
document.mqxliff_335,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_336,Check parking brake lever stroke and play (,Comprobación de la carrera y el juego de la palanca del freno de estacionamiento (
document.mqxliff_337,Inspection,Revisión
document.mqxliff_338,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_339,Replace air purifier filter. (,Cambio del filtro purificador de aire. (
document.mqxliff_340,Replace,Cambio
document.mqxliff_341,Normal usage,Uso normal
document.mqxliff_342,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_343,Severe usage,Uso extremo
document.mqxliff_344,More frequently,Con más frecuencia
document.mqxliff_345,OPERATIONS OUTSIDE THE VEHICLE,OPERACIONES FUERA DEL VEHÍCULO
document.mqxliff_346,Check wheel alignment (,Comprobación de la alineación de las ruedas (
document.mqxliff_347,Inspection,Revisión
document.mqxliff_348,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_349,Check front and rear wheel bearings for play (,Comprobación del juego en los cojinetes de las ruedas delanteras y traseras (
document.mqxliff_350,Inspection,Revisión
document.mqxliff_351,"Every 60,000 km or every 3 years",Cada 60.000 km o cada 3 años
document.mqxliff_352,Check brake hoses and pipes for leakage (,Comprobación de fugas en las mangueras y las tuberías del freno (
document.mqxliff_353,Inspection,Revisión
document.mqxliff_354,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_355,Check brake pads and discs for wear (,Comprobación del estado de las pastillas y los discos de freno (
document.mqxliff_356,Inspection,Inspección
document.mqxliff_357,Normal usage,Uso normal
document.mqxliff_358,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_359,Severe usage,Uso extremo
document.mqxliff_360,"Every 10,000 km or every 6 months",Cada 10.000 km o cada 6 meses
document.mqxliff_361,Check brake shoe linings and drums for wear (,Comprobación del estado de los forros de las zapatas y los tambores de freno (
document.mqxliff_362,Inspection,Inspección
document.mqxliff_363,Normal usage,Uso normal
document.mqxliff_364,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
document.mqxliff_365,Severe usage,Uso extremo
document.mqxliff_366,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_367,Adjust the clearance of the brake shoe linings (vehicles with electric parking brake) (,Ajuste de la holgura de los forros de las zapatas del freno (vehículos con freno de estacionamiento eléctrico) (
document.mqxliff_368,Adjust,Ajuste
document.mqxliff_369,"Every 20,000 km or every 12 months",Cada 20.000 km o cada 12 meses
document.mqxliff_370,Check fuel hoses and pipes for leakage or deterioration (,Comprobación de fugas y desperfectos en las mangueras y los tubos de combustible (
document.mqxliff_371,Inspection,Revisión
document.mqxliff_372,"Every 40,000 km or every 2 years",Cada 40.000 km o cada 2 años
